1525083386 0 0 0 1 0 0 0 0 0 0 0 0
1525434051 0 0 0 1 0 1 0 0 0 0 0 0
1525434169 0 0 0 1 0 2 0 0 0 0 0 0
1525434212 0 0 0 1 0 3 0 0 0 0 0 0
1525636829 0 0 1 1 0 3 0 0 0 0 0 0
1525636981 1 0 1 1 0 3 0 0 0 0 0 0
1525637023 1 0 2 1 0 3 0 0 0 0 0 0
1525637081 2 0 2 1 0 3 0 0 0 0 0 0
1525660585 2 0 3 1 0 3 0 0 0 0 0 0
1525660723 2 0 4 1 0 3 0 0 0 0 0 0
1525660805 3 0 4 1 0 3 0 0 0 0 0 0
1525735815 3 1 4 1 0 3 0 0 0 0 0 0
1525754133 3 1 4 1 0 3 1 0 0 0 0 0
1525805872 4 1 4 1 0 3 1 0 0 0 0 0
1525806160 5 1 4 1 0 3 1 0 0 0 0 0
1525808237 5 2 4 1 0 3 1 0 0 0 0 0
1525808722 5 3 4 1 0 3 1 0 0 0 0 0
1525808901 5 4 4 1 0 3 1 0 0 0 0 0
1525809267 5 5 4 1 0 3 1 0 0 0 0 0
1525815923 6 5 4 1 0 3 1 0 0 0 0 0
1525995814 6 6 4 1 0 3 1 0 0 0 0 0
1525998424 6 7 4 1 0 3 1 0 0 0 0 0
1526007207 6 7 4 1 0 3 1 1 0 0 0 0
1526007421 6 7 4 1 0 3 1 2 0 0 0 0
1526011640 6 7 4 1 0 3 1 3 0 0 0 0
1526078290 6 7 4 1 1 3 1 3 0 0 0 0
1526078732 6 7 4 1 2 3 1 3 0 0 0 0
1526079101 6 7 4 1 3 3 1 3 0 0 0 0
1526083689 6 7 4 1 3 3 1 3 0 0 1 0
1526242690 6 7 4 2 3 3 1 3 0 0 1 0
1526242854 6 7 4 3 3 3 1 3 0 0 1 0
1526243148 6 7 4 4 3 3 1 3 0 0 1 0
1526315189 6 7 4 4 3 3 1 3 0 0 1 1
1526336099 6 7 4 4 3 3 1 3 1 0 1 1
1526337919 6 7 4 4 3 3 1 3 2 0 1 1
1526394839 7 7 4 4 3 3 1 3 2 0 1 1
1526398236 7 7 5 4 3 3 1 3 2 0 1 1
1526398675 7 7 6 4 3 3 1 3 2 0 1 1
1526408149 7 7 6 4 3 3 1 3 2 1 1 1
1526453697 7 7 6 4 3 3 2 3 2 1 1 1
1526454804 7 7 6 4 3 3 3 3 2 1 1 1
1526478618 8 7 6 4 3 3 3 3 2 1 1 1
1526496436 8 7 7 4 3 3 3 3 2 1 1 1
1526509161 9 7 7 4 3 3 3 3 2 1 1 1
